customer_id,customer_city,customer_state,order_id,order_purchase_timestamp,order_item_id,product_id,price,review_id,review_score,customer_lat,customer_long,product_category_name,quantidade_item
06b8999e2fba1a1fbc88172c00ba8bc7,franca,SP,00e7ee1b050b8499577073aeb2a297a1,2017-05-16 15:05:35,1,a9516a079e37a9c9c36b9b78b10169e8,124.99,88b8b52d46df026a9d1ad2136a59b30b,4,-20.500252601080785,-47.40036721880004,moveis_escritorio,1
8912fc0c3bbf1e2fbf35819e21706718,santarem,PA,c1d2b34febe9cd269e378117d6681172,2017-11-09 00:50:13,1,a9516a079e37a9c9c36b9b78b10169e8,112.99,7fc63200f12eebb5f387856afdd63db8,1,-2.4415346537964644,-54.720800816504536,moveis_escritorio,2
8912fc0c3bbf1e2fbf35819e21706718,santarem,PA,c1d2b34febe9cd269e378117d6681172,2017-11-09 00:50:13,2,a9516a079e37a9c9c36b9b78b10169e8,112.99,7fc63200f12eebb5f387856afdd63db8,1,-2.4415346537964644,-54.720800816504536,moveis_escritorio,2
f0ac8e5a239118859b1734e1087cbb1f,nova santa rita,RS,b1a5d5365d330d10485e0203d54ab9e8,2017-05-07 20:11:26,1,a9516a079e37a9c9c36b9b78b10169e8,124.99,251191809e37c1cffc16865947c18a4d,3,-29.8796749182837,-51.272092866186455,moveis_escritorio,1
6bc8d08963a135220ed6c6d098831f84,mage,RJ,2e604b3614664aa66867856dba7e61b7,2018-02-03 19:45:40,1,a9516a079e37a9c9c36b9b78b10169e8,106.99,f7123bac5b91a0e2e38d8b41fd1206f4,4,-22.610299290892424,-43.17684982695109,moveis_escritorio,1
fd3a0b1bd209f0e7d420c9c3d1127613,angelina,SC,574fe1739f65af76badd0999db300b4f,2017-03-23 15:10:17,1,a9516a079e37a9c9c36b9b78b10169e8,126.99,1496c2a9c41a846ba946a98a09879660,4,-27.58311561264824,-48.98403959584747,moveis_escritorio,1
fbd40c083aa8cddebb5265b2ba6aaf2e,contagem,MG,e0b26f14d2bcc710bb02f77a4628763b,2017-05-16 10:00:49,1,a9516a079e37a9c9c36b9b78b10169e8,124.99,23c661ff382c3a54fc8f98a0b627301f,4,-19.92915430347739,-44.04750910076872,moveis_escritorio,1
10558ef4afea173bfb5e2cbe3d5b0bb5,varzea grande,MT,eaae5bd20fb15d85aa673d9b7c0e8ca5,2017-03-18 23:04:36,1,a9516a079e37a9c9c36b9b78b10169e8,126.99,3af0c84579dd7573c098da99a26dd1d7,2,-15.662816583156864,-56.12779216573518,moveis_escritorio,1
1c37c0f0cd1d88d46d9fc9494762abbd,belo horizonte,MG,c4e2bd2043fbd75b325a47adfabf0d77,2018-03-15 07:45:10,1,a9516a079e37a9c9c36b9b78b10169e8,116.99,a82bdb93d19f3fd2dfc9c27140488965,3,-19.855375113797656,-43.953583547319546,moveis_escritorio,1
20a452f528d487411fd7d3ebda1d0f20,santa rita do sapucai,MG,1c7fe02ac4c7be50c59afb295cf85b89,2018-01-26 13:22:09,1,a9516a079e37a9c9c36b9b78b10169e8,106.99,42b3cd1634f9613559f38187611136d3,2,-22.239336714712184,-45.70833577473482,moveis_escritorio,2
20a452f528d487411fd7d3ebda1d0f20,santa rita do sapucai,MG,1c7fe02ac4c7be50c59afb295cf85b89,2018-01-26 13:22:09,2,a9516a079e37a9c9c36b9b78b10169e8,106.99,42b3cd1634f9613559f38187611136d3,2,-22.239336714712184,-45.70833577473482,moveis_escritorio,2
